sentiment,content
1,f amp star trek what great sunday
1,good morning peoplee look like going nice day today better last week raining
1,good morning friend happy may bank holiday
0,go big plan thanks tonsil
0,damn got turn alarm woke am
1,reckon could live yogurt week good selection flavor
1,rudedoodle thankyou
1,look like beautiful day and work til sunday yay bbq yet though gonna postpone invitation
0,lilmoever i m mad wont there ughhh
1,vestacaro already get tax money helio winning pole position ha ha
1,cherrybaby glad like it
0,oh no read going remake girl wanna fun stop hollywood just stop
1,ciaoamalfi great local stop ask direction even better know answer
0,omg sad royle family nana dy sobbing saddest thing i ve ever watched
1,whiteangle held out japanese people making origami animal darcy great time amazing place
0,downside getting tdl day early time read til next week anyway still hurrah clutch close
1,mirnygirly work drop line would love talk
1,yayz today s day call see got job x ish happy even though slept horribly i m kinda drained
0,went dentist mouth hurt can t eat
0,rain got big weather cold right
1,ddlovato hi ya demi im glad ur back http twitpic com vuuy personally love picture haha
1,sunset view beautiful room
1,goofygeorge totally welcome come hang wiki it it
1,night dance party fun time amp awkward situation highlight driving w nim annie listening satellite window downnnn
1,rbmartin yeh knew wot meant kinda lol seems alot radio bod here i ve lost count
1,mollieofficial congrats mollie wish could got ticket
0,loryanyumul miss gonna irvine again liz reminiscing adventure
1,super cool dream last night theellenshow asked danify show wooowww hope come true
0,work huge headache
0,got little much sun today
0,hello thank followfridays people always forget sorry
0,intel gfx driver situation much better recent upgrade kernel rc driver git suspend working again fewer mem leak
0,we re getting another puppy cool really
1,ayende lol army starfleet rule meant broken get job done that s get medal
0,morning all water heating s packed up can t bath really want bath
0,ugh hungry scarfed lunch even thought take pic feastfriday
1,leifreak hi miss isabelle here
1,awsome know know know
0,teemwilliams michelleeeeeeeeeeeemybelleeeeeeeeeeeeeeeeee snif snif
1,happy mother s day wonderful mom there matalatine
0,idk cant shit
0,guess i m gonna try nap thing day since kid cooperated yet week i m sure day different
0,p bgt fab sad thought greg awesome sad he s gone child always win situation sadly
1,stapler haiku whar night woo hoo yeah beautiful night party oops i m stapler
0,missed math trade
1,meredithhawkins aww nice
0,teksone no i m u weekend uk
1,morning everybody
1,fun b day celebration
0,artythecat oh no missed again
0,chloecazrhi thankyouu
1,feel like throwing up
1,got done working out relaxing work
1,everyone going hometown show excited get go thames street i m gonna see original thames river bitch ohhhh
0,flashyfem sorry hear that already much planned weekend i d considered going too
1,baking experiment result delicious sweet rich almost sweet
1,got home state honor choir hour drive payed off amazinggggg
